index,node,level,parents,params,res_gdw_id,res_inflow_flag,res_outflow_flag,res_within_flag
248,420554044,0,,315000.0;1000.0;0.44;1.19
249,420554045,0,,66000.0;304.0;0.43;1.75
250,420552144,0,,191000.0;511.0;0.44;1.46
251,420551728,0,,158000.0;559.0;0.43;1.47
252,420551344,0,,243000.0;419.0;0.43;1.44
253,420551343,0,,73000.0;234.0;0.44;1.74
254,420550314,0,,204000.0;815.0;0.44;1.46
255,420550517,0,,308000.0;542.0;0.44;1.19
256,420549517,0,,282000.0;537.0;0.43;1.26
257,420556222,0,,118000.0;234.0;0.45;1.54
258,420556821,0,,33000.0;117.0;0.45;1.75
259,420557486,0,,79000.0;210.0;0.47;1.73
260,420555789,0,,191000.0;559.0;0.46;1.47
261,420555313,0,,158000.0;421.0;0.46;1.49
262,420554685,0,,92000.0;210.0;0.47;1.69
263,420553420,0,,295000.0;375.0;0.48;1.24
264,420553421,0,,53000.0;188.0;0.48;1.73
265,420555549,0,,433000.0;1097.0;0.46;1.24
266,420554902,0,,171000.0;421.0;0.47;1.47
267,420554686,0,,335000.0;746.0;0.49;1.21
268,420553422,0,,485000.0;1216.0;0.49;1.18
269,420554265,0,,145000.0;326.0;0.48;1.51
270,420553423,0,,125000.0;443.0;0.47;1.58
271,420551732,0,,138000.0;117.0;0.49;1.52
272,420551955,0,,269000.0;912.0;0.48;1.39
273,420550725,0,,164000.0;492.0;0.45;1.41
274,420551148,0,,282000.0;658.0;0.49;1.26
275,420556421,0,,59000.0;71.0;0.47;1.73
276,420554903,0,,125000.0;278.0;0.47;1.58
277,420555315,0,,125000.0;234.0;0.47;1.62
278,420554266,0,,138000.0;234.0;0.47;1.55
279,420554905,0,,92000.0;304.0;0.46;1.7
280,420554052,0,,99000.0;350.0;0.46;1.7
281,420553624,0,,73000.0;188.0;0.46;1.74
282,420553424,0,,99000.0;117.0;0.47;1.68
283,420552363,0,,46000.0;117.0;0.49;1.69
284,420550924,0,,243000.0;537.0;0.49;1.42
285,420554263,0,,269000.0;744.0;0.45;1.44
286,420554264,0,,118000.0;210.0;0.45;1.54
287,420553014,0,,322000.0;861.0;0.46;1.18
288,420553827,0,,132000.0;259.0;0.45;1.52
289,420553225,0,,99000.0;302.0;0.45;1.68
290,420552147,0,,341000.0;909.0;0.44;1.17
291,420553015,0,,66000.0;117.0;0.43;1.74
